,time,open,high,low,close,vol_,volume,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
4932,1664687100,19329.9,19329.9,19321.4,19325.0,1.80484236,34879.223020691,0,0,0,0,0,0,0,0,0,-100,0,0
4933,1664687400,19327.6,19328.0,19325.3,19327.9,0.05770536,1115.24273745,0,0,0,0,0,0,0,0,0,0,0,0
4934,1664687700,19328.0,19328.0,19327.9,19328.0,0.28705001,5548.09973628,0,0,0,0,0,0,0,0,0,0,0,0
4935,1664688000,19328.0,19329.9,19328.0,19329.9,0.38473168,7436.494782797,0,0,0,0,0,0,0,0,0,0,0,0
4936,1664688300,19329.9,19344.9,19329.8,19344.9,6.05241962,117008.825470663,0,0,0,0,0,0,0,0,0,100,0,100
4937,1664688600,19344.9,19344.9,19344.8,19344.9,0.09312995,1801.589016697,0,0,0,0,0,0,0,0,0,0,0,0
4938,1664688900,19344.9,19380.9,19344.9,19374.3,27.21300991,526911.782080822,0,0,0,0,0,0,0,0,0,100,0,0
4939,1664689200,19374.4,19393.7,19360.0,19366.8,4.09629006,79402.881795634,0,0,0,0,0,0,0,0,0,0,0,0
4940,1664689500,19368.9,19368.9,19330.7,19331.1,7.98518932,154608.642665799,0,0,0,0,0,0,0,0,0,-100,0,-100
4941,1664689800,19330.7,19366.8,19328.8,19363.4,28.88487972,558938.834991053,0,0,0,0,0,0,0,0,0,0,0,0
4942,1664690100,19365.9,19365.9,19313.6,19318.6,4.84217865,93583.578245573,0,0,0,0,0,0,0,0,0,-100,0,0
4943,1664690400,19321.3,19338.3,19319.1,19338.3,0.13068853,2525.849830915,0,0,0,0,0,0,0,0,0,0,0,0
4944,1664690700,19332.1,19343.8,19331.6,19343.8,0.17565464,3396.948326689,0,0,0,0,0,0,0,0,0,0,0,0
4945,1664691000,19343.8,19349.3,19339.5,19349.3,0.44547054,8618.842739661,0,0,0,0,0,0,0,0,0,0,0,0
4946,1664691300,19355.0,19369.7,19350.1,19350.1,0.59486556,11514.103849982,0,0,0,0,0,0,0,0,0,0,0,0
4947,1664691600,19350.1,19354.2,19325.9,19330.1,0.37580671,7265.488383377,0,0,0,0,0,0,0,0,0,0,0,0
4948,1664691900,19337.0,19372.6,19337.0,19370.0,0.54286986,10511.632300492,0,0,0,0,0,0,0,0,0,100,0,100
4949,1664692200,19369.9,19380.3,19354.6,19363.0,1.37988806,26715.772541565,0,0,0,0,0,0,0,0,0,0,0,0
4950,1664692500,19363.0,19363.0,19330.0,19330.0,0.04190574,810.698621918,0,0,-100,0,0,0,0,0,0,-100,0,-100
4951,1664692800,19325.9,19355.3,19325.9,19335.2,0.06410001,1239.767726213,0,0,0,0,0,0,0,0,0,0,0,0
4952,1664693100,19335.2,19335.2,19328.4,19328.4,0.6040294,11678.83151203,0,0,0,0,0,0,0,0,0,0,0,0
4953,1664693400,19325.0,19325.1,19325.0,19325.0,0.44064541,8515.474512356,0,0,0,0,0,0,0,0,0,0,0,0
4954,1664693700,19328.6,19330.9,19313.6,19313.7,0.31528208,6092.561190357,0,0,0,0,0,0,0,0,0,0,0,-100
