,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
57,1663288200,19707.2,19756.8,19706.2,19754.0,4.24334213,83777.079557795,54.28183442798758,-14.532720703726227,-19.637483452522698,5.104762748796471,47.524097041339054,14.285714285714286,0,0,0,0,0,100,0,0,0,0,100,0,100
58,1663288500,19757.5,19757.6,19720.9,19720.9,2.54358367,50193.128160434,50.71949315072829,-12.23088247758642,-18.156163257535443,5.9252807799490235,46.69659120298804,21.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1663288800,19725.4,19732.6,19685.9,19709.1,7.48973741,147586.838027603,49.47300544813532,-10.962188765472092,-16.717368359122773,5.755179593650681,46.33761595508263,21.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1663289100,19700.2,19739.5,19700.2,19730.2,1.06891652,21081.442645049,51.75618400548865,-8.585462317329075,-15.090987150764033,6.505524833434958,45.81563367421085,21.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1663289400,19727.4,19743.2,19714.7,19743.1,1.81170543,35736.089239544,53.150038960298,-5.82897356445028,-13.238584433501282,7.4096108690510025,45.22516482206672,21.42857142857143,0,0,0,0,0,100,0,0,0,0,0,0,0
62,1663289700,19743.2,19767.1,19740.5,19767.1,3.32684617,65704.901657675,55.713649444968226,-2.137184085575427,-11.018304363916112,8.881120278340685,43.99914359024931,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1663290000,19765.9,19782.3,19761.9,19778.5,25.81239772,510438.537834531,56.91952254133891,1.5220265736243164,-8.510238176408027,10.032264750032343,42.44803117820557,57.142857142857146,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1663290300,19780.6,19784.6,19780.6,19784.5,0.35378206,6998.299828898,57.5742971664515,4.798953383367916,-5.848399864452839,10.647353247820755,40.943968956583184,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1663290600,19782.7,19807.3,19781.0,19781.1,3.27104634,64752.8521182,57.04519112282609,7.179707456536562,-3.2427784002549584,10.422485856791521,38.923183237815685,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1663290900,19781.1,19781.1,19770.8,19770.9,1.1772632,23276.075702965,55.400318483495084,8.41483398481796,-0.9112559232403745,9.326089908058336,37.25675093200693,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1663291200,19770.9,19785.6,19770.8,19784.5,0.40742483,8056.096511374,57.17348449259285,10.128801357041084,1.2967555328159173,8.832045824225167,35.57938236082249,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1663291500,19784.1,19788.5,19773.9,19777.9,2.13099748,42150.571771326,56.00970516865147,11.013058617649222,3.240016149782578,7.773042467866643,33.93400561861138,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1663291800,19782.4,19791.1,19772.5,19789.6,0.98063602,19395.118759831,57.65522242541752,12.307210161419789,5.0534549521100205,7.253755209309769,32.32314625542758,71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1663292100,19794.5,19797.2,19784.6,19784.6,11.08945127,219455.565814586,56.679468817189615,12.927877843096212,6.628339530307259,6.299538312788953,30.625057621919115,64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1663292400,19784.6,19784.7,19758.9,19769.2,5.70302294,112725.836819421,53.666857655914214,12.385669164508727,7.779805457147552,4.605863707361174,29.72390161856627,42.85714285714286,0,0,0,0,0,0,0,0,0,0,-100,0,0
72,1663292700,19778.7,19781.2,19750.9,19760.3,2.66636417,52695.337444659,51.94838230796979,11.300828430685215,8.484010051855085,2.8168183788301295,29.083376040120164,42.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1663293000,19760.8,19760.8,19733.9,19733.9,4.0144183,79291.179819429,47.1276649895987,8.754219659782393,8.538051973440547,0.21616768634184602,28.891770088926684,42.85714285714286,0,0,0,0,0,0,0,0,0,0,-100,0,-100
74,1663293300,19734.0,19734.0,19713.2,19713.2,0.68749344,13557.940847344,43.70311776067959,5.397516624765558,7.909944903705549,-2.512428278939991,29.162927661799777,35.714285714285715,0,0,0,0,0,0,0,0,0,0,-100,0,-100
75,1663293600,19713.2,19734.7,19713.1,19734.7,0.39906425,7872.692594284,47.93493091641685,3.924631309011602,7.112882184766759,-3.1882508757551573,29.385323856072656,-71.42857142857143,0,0,0,0,0,0,0,0,0,0,100,0,100
76,1663293900,19733.3,19753.0,19720.7,19720.7,2.77276475,54741.63219352,45.534669267884134,1.874294882207323,6.065164724254872,-4.190869842047549,28.833120939817558,-71.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1663294200,19726.9,19748.9,19726.9,19736.2,6.75084906,133276.426909482,48.603202861845254,1.1289701458117634,5.077925808566251,-3.9489556627544875,28.320361089009253,-71.42857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0
78,1663294500,19730.8,19739.5,19712.8,19712.8,1.40065308,27638.069100612,44.52487369002296,-0.8669469403903349,3.8889512587749335,-4.7558981991652685,28.2188985170844,-92.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,-100
79,1663294800,19710.1,19741.7,19710.1,19737.5,0.74758966,14752.813756351,49.35562196578844,-0.9963426570684533,2.911892475606256,-3.9082351326747093,28.19579296045804,-100.0,0,0,0,0,0,0,0,0,0,0,100,0,0
80,1663295100,19734.0,19748.2,19734.0,19742.2,1.09986384,21715.721692836,50.24349639940235,-0.8118197861804219,2.1671500232489205,-2.9789698094293424,27.862785888062586,-64.28571428571429,1,0,0,0,0,100,0,0,0,0,0,0,0
81,1663295400,19742.0,19743.0,19732.7,19732.7,0.21896495,4321.926913667,48.39658747707742,-1.2186908672119898,1.4899818451567384,-2.7086727123687284,27.593392419863275,-64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1663295700,19735.8,19763.8,19732.7,19763.7,1.12907373,22304.354187907,54.300017637923894,0.3038811380574771,1.2527617037368861,-0.948880565679409,26.353877018349852,-64.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,100
83,1663296000,19759.6,19765.1,19685.8,19685.8,127.25928609,2512441.489554667,41.463382827595176,-3.0935994121682597,0.38348948055585685,-3.4770888927241166,26.570095554114054,-92.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,-100
84,1663296300,19686.4,19714.4,19685.7,19693.5,0.28300761,5576.558722749,42.90027178569269,-5.3331223286477325,-0.7598328812848612,-4.573289447362871,26.773338620251234,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1663296600,19688.2,19700.0,19686.3,19696.3,11.66151309,229687.81126447,43.44393104773379,-6.911671608992037,-1.9902006268262964,-4.921470982165741,26.96206432452148,-92.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1663296900,19696.3,19740.2,19696.3,19740.2,7.07564456,139434.62870847,51.2767823739131,-5.5086637810345565,-2.6938932576679484,-2.814770523366608,25.4199187907391,-85.71428571428572,0,0,0,0,0,0,0,0,0,0,100,0,100
87,1663297200,19742.7,19749.2,19740.2,19746.2,0.66759516,13182.524730377,52.25016580512314,-3.9728311903927533,-2.949680844212909,-1.0231503461798441,23.665241352156222,-7.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
